chr,loc,snpid
Chr1,110006052,Chr1_110006052
Chr1,110006739,Chr1_110006739
Chr1,110006757,Chr1_110006757
Chr1,110006771,Chr1_110006771
Chr1,110006984,Chr1_110006984
Chr1,110011586,Chr1_110011586
Chr1,110297734,Chr1_110297734
Chr1,110297763,Chr1_110297763
Chr1,110297786,Chr1_110297786
Chr1,110297864,Chr1_110297864
Chr1,110297922,Chr1_110297922
Chr1,110298126,Chr1_110298126
Chr1,110298513,Chr1_110298513
Chr1,110298543,Chr1_110298543
Chr1,110298613,Chr1_110298613
Chr1,110298780,Chr1_110298780
Chr1,110298907,Chr1_110298907
Chr1,110299000,Chr1_110299000
Chr1,110299003,Chr1_110299003
Chr1,110299181,Chr1_110299181
Chr1,110299330,Chr1_110299330
Chr1,110299742,Chr1_110299742
Chr1,110343453,Chr1_110343453
Chr1,110343525,Chr1_110343525
Chr1,110343608,Chr1_110343608
Chr1,110344864,Chr1_110344864
Chr1,110345076,Chr1_110345076
Chr1,110378412,Chr1_110378412
Chr1,110378564,Chr1_110378564
Chr1,110378583,Chr1_110378583
Chr1,110378648,Chr1_110378648
Chr1,110379026,Chr1_110379026
Chr1,110379050,Chr1_110379050
Chr1,110379562,Chr1_110379562
Chr1,110383609,Chr1_110383609
Chr1,110388622,Chr1_110388622
Chr1,110388664,Chr1_110388664
Chr1,110388917,Chr1_110388917
Chr1,11011413,Chr1_11011413
Chr1,11011465,Chr1_11011465
Chr1,11011470,Chr1_11011470
Chr1,11011549,Chr1_11011549
Chr1,11011571,Chr1_11011571
Chr1,11011593,Chr1_11011593
Chr1,11011634,Chr1_11011634
Chr1,11011722,Chr1_11011722
Chr1,111080847,Chr1_111080847
Chr1,111081107,Chr1_111081107
Chr1,111081343,Chr1_111081343
Chr1,111082171,Chr1_111082171
Chr1,11066112,Chr1_11066112
Chr1,11066388,Chr1_11066388
Chr1,11066780,Chr1_11066780
Chr1,11068130,Chr1_11068130
Chr1,111906612,Chr1_111906612
Chr1,111907769,Chr1_111907769
Chr1,11126996,Chr1_11126996
Chr1,11127329,Chr1_11127329
Chr1,11127358,Chr1_11127358
Chr1,11127632,Chr1_11127632
Chr1,11127863,Chr1_11127863
Chr1,11128220,Chr1_11128220
Chr1,11128236,Chr1_11128236
Chr1,112126675,Chr1_112126675
Chr1,112127449,Chr1_112127449
Chr1,112127508,Chr1_112127508
Chr1,112127691,Chr1_112127691
Chr1,11130684,Chr1_11130684
Chr1,11159465,Chr1_11159465
Chr1,11159479,Chr1_11159479
Chr1,11159701,Chr1_11159701
Chr1,11164770,Chr1_11164770
Chr1,112579436,Chr1_112579436
Chr1,112580756,Chr1_112580756
Chr1,112585964,Chr1_112585964
Chr1,112978055,Chr1_112978055
Chr1,112979918,Chr1_112979918
Chr1,113122599,Chr1_113122599
Chr1,113122639,Chr1_113122639
Chr1,113123335,Chr1_113123335
Chr1,113123410,Chr1_113123410
Chr1,113123515,Chr1_113123515
Chr1,113123793,Chr1_113123793
Chr1,113434771,Chr1_113434771
Chr1,113435044,Chr1_113435044
Chr1,113435100,Chr1_113435100
Chr1,113436891,Chr1_113436891
Chr1,113436964,Chr1_113436964
Chr1,113436978,Chr1_113436978
Chr1,113437237,Chr1_113437237
Chr1,113437644,Chr1_113437644
Chr1,113437697,Chr1_113437697
Chr1,113437935,Chr1_113437935
Chr1,11299532,Chr1_11299532
Chr1,11299896,Chr1_11299896
Chr1,11300480,Chr1_11300480
Chr1,11300851,Chr1_11300851
Chr1,11300935,Chr1_11300935
Chr1,11300942,Chr1_11300942
Chr1,11301182,Chr1_11301182
Chr1,11301838,Chr1_11301838
Chr1,11301857,Chr1_11301857
Chr1,11302718,Chr1_11302718
Chr1,11302995,Chr1_11302995
Chr1,11303069,Chr1_11303069
Chr1,11303118,Chr1_11303118
Chr1,11303166,Chr1_11303166
Chr1,11303497,Chr1_11303497
Chr1,11303535,Chr1_11303535
Chr1,11304353,Chr1_11304353
Chr1,11304404,Chr1_11304404
Chr1,113696973,Chr1_113696973
Chr1,113699768,Chr1_113699768
Chr1,113712472,Chr1_113712472
Chr1,113769960,Chr1_113769960
Chr1,113770023,Chr1_113770023
Chr1,113772403,Chr1_113772403
Chr1,113772503,Chr1_113772503
Chr1,11358924,Chr1_11358924
Chr1,11358967,Chr1_11358967
Chr1,11359094,Chr1_11359094
Chr1,11364100,Chr1_11364100
Chr1,11365207,Chr1_11365207
Chr1,11365209,Chr1_11365209
Chr1,11365225,Chr1_11365225
Chr1,11365468,Chr1_11365468
Chr1,11410613,Chr1_11410613
Chr1,11410979,Chr1_11410979
Chr1,114872831,Chr1_114872831
Chr1,114872873,Chr1_114872873
Chr1,114877039,Chr1_114877039
Chr1,11432618,Chr1_11432618
Chr1,115181215,Chr1_115181215
Chr1,115181276,Chr1_115181276
Chr1,115181563,Chr1_115181563
Chr1,115182042,Chr1_115182042
Chr1,115182905,Chr1_115182905
Chr1,115182936,Chr1_115182936
Chr1,11494085,Chr1_11494085
Chr1,11494371,Chr1_11494371
Chr1,11494763,Chr1_11494763
Chr1,115450712,Chr1_115450712
Chr1,115456229,Chr1_115456229
Chr1,11584194,Chr1_11584194
Chr1,11584233,Chr1_11584233
Chr1,11584356,Chr1_11584356
Chr1,11585011,Chr1_11585011
Chr1,11585500,Chr1_11585500
Chr1,11585634,Chr1_11585634
Chr1,11589529,Chr1_11589529
Chr1,11589828,Chr1_11589828
Chr1,11591393,Chr1_11591393
Chr1,11591629,Chr1_11591629
Chr1,11593076,Chr1_11593076
Chr1,11593526,Chr1_11593526
Chr1,11675283,Chr1_11675283
Chr1,11677899,Chr1_11677899
Chr1,116776203,Chr1_116776203
Chr1,116776239,Chr1_116776239
Chr1,116776323,Chr1_116776323
Chr1,116776332,Chr1_116776332
Chr1,116776537,Chr1_116776537
Chr1,116812904,Chr1_116812904
Chr1,11724166,Chr1_11724166
Chr1,11724390,Chr1_11724390
Chr1,116931359,Chr1_116931359
Chr1,116931406,Chr1_116931406
Chr1,116931648,Chr1_116931648
Chr1,116932098,Chr1_116932098
Chr1,116932236,Chr1_116932236
Chr1,116932425,Chr1_116932425
Chr1,116932458,Chr1_116932458
Chr1,117002753,Chr1_117002753
Chr1,117002756,Chr1_117002756
Chr1,117005767,Chr1_117005767
Chr1,117006027,Chr1_117006027
Chr1,117672038,Chr1_117672038
Chr1,117694664,Chr1_117694664
Chr1,1211085,Chr1_1211085
Chr1,117873841,Chr1_117873841
Chr1,117874022,Chr1_117874022
Chr1,11881370,Chr1_11881370
Chr1,118829756,Chr1_118829756
Chr1,118829757,Chr1_118829757
Chr1,118829765,Chr1_118829765
Chr1,118829782,Chr1_118829782
Chr1,118830437,Chr1_118830437
Chr1,118873360,Chr1_118873360
Chr1,118877525,Chr1_118877525
Chr1,118878425,Chr1_118878425
Chr1,118878571,Chr1_118878571
Chr1,11955151,Chr1_11955151
Chr1,11955384,Chr1_11955384
Chr1,11958071,Chr1_11958071
Chr1,119480878,Chr1_119480878
Chr1,119480924,Chr1_119480924
Chr1,119480999,Chr1_119480999
Chr1,119481735,Chr1_119481735
Chr1,119488583,Chr1_119488583
Chr1,119493447,Chr1_119493447
Chr1,11983441,Chr1_11983441
Chr1,12043386,Chr1_12043386
Chr1,12103933,Chr1_12103933
Chr1,12104028,Chr1_12104028
Chr1,12104276,Chr1_12104276
Chr1,12104298,Chr1_12104298
Chr1,12104314,Chr1_12104314
Chr1,12104461,Chr1_12104461
Chr1,12104779,Chr1_12104779
Chr1,12104830,Chr1_12104830
Chr1,12105106,Chr1_12105106
Chr1,121006054,Chr1_121006054
Chr1,121006300,Chr1_121006300
Chr1,121007559,Chr1_121007559
Chr1,121007709,Chr1_121007709
Chr1,121007733,Chr1_121007733
Chr1,121007826,Chr1_121007826
Chr1,121007952,Chr1_121007952
Chr1,121007973,Chr1_121007973
Chr1,121173851,Chr1_121173851
Chr1,121173899,Chr1_121173899
Chr1,121174114,Chr1_121174114
Chr1,121212023,Chr1_121212023
Chr1,121212183,Chr1_121212183
Chr1,121212386,Chr1_121212386
Chr1,121212656,Chr1_121212656
Chr1,12137970,Chr1_12137970
Chr1,12138005,Chr1_12138005
Chr1,12138493,Chr1_12138493
Chr1,12141019,Chr1_12141019
Chr1,12141314,Chr1_12141314
Chr1,12141599,Chr1_12141599
Chr1,12141662,Chr1_12141662
Chr1,12141872,Chr1_12141872
Chr1,12141932,Chr1_12141932
Chr1,12146279,Chr1_12146279
Chr1,12146292,Chr1_12146292
Chr1,12146307,Chr1_12146307
Chr1,12146338,Chr1_12146338
Chr1,12146432,Chr1_12146432
Chr1,121352879,Chr1_121352879
Chr1,121353195,Chr1_121353195
Chr1,121354303,Chr1_121354303
Chr1,121354606,Chr1_121354606
Chr1,121354744,Chr1_121354744
Chr1,121354879,Chr1_121354879
Chr1,121354938,Chr1_121354938
Chr1,121458457,Chr1_121458457
Chr1,121458461,Chr1_121458461
Chr1,121458720,Chr1_121458720
Chr1,121458736,Chr1_121458736
Chr1,121458765,Chr1_121458765
Chr1,121458876,Chr1_121458876
Chr1,121459092,Chr1_121459092
Chr1,121460374,Chr1_121460374
Chr1,121460599,Chr1_121460599
Chr1,121460689,Chr1_121460689
Chr1,121461530,Chr1_121461530
Chr1,12171415,Chr1_12171415
Chr1,12171501,Chr1_12171501
Chr1,12171553,Chr1_12171553
Chr1,12171600,Chr1_12171600
Chr1,12171668,Chr1_12171668
Chr1,12172753,Chr1_12172753
Chr1,12172945,Chr1_12172945
Chr1,12172972,Chr1_12172972
Chr1,12172984,Chr1_12172984
Chr1,12173014,Chr1_12173014
Chr1,12174352,Chr1_12174352
Chr1,12174588,Chr1_12174588
Chr1,12175031,Chr1_12175031
Chr1,12175643,Chr1_12175643
Chr1,12175708,Chr1_12175708
Chr1,12175746,Chr1_12175746
Chr1,12175860,Chr1_12175860
Chr1,12175878,Chr1_12175878
Chr1,12176180,Chr1_12176180
Chr1,12176212,Chr1_12176212
Chr1,12176349,Chr1_12176349
Chr1,12176355,Chr1_12176355
Chr1,12176404,Chr1_12176404
Chr1,12176577,Chr1_12176577
Chr1,12176601,Chr1_12176601
Chr1,12176619,Chr1_12176619
Chr1,12176891,Chr1_12176891
Chr1,12178544,Chr1_12178544
Chr1,12178697,Chr1_12178697
Chr1,1231783,Chr1_1231783
Chr1,12179132,Chr1_12179132
Chr1,1231886,Chr1_1231886
Chr1,12181738,Chr1_12181738
Chr1,12181916,Chr1_12181916
Chr1,12182061,Chr1_12182061
Chr1,12182356,Chr1_12182356
Chr1,12182476,Chr1_12182476
Chr1,121820582,Chr1_121820582
Chr1,121820821,Chr1_121820821
Chr1,121820823,Chr1_121820823
Chr1,121820882,Chr1_121820882
Chr1,121820984,Chr1_121820984
Chr1,121821035,Chr1_121821035
Chr1,121821632,Chr1_121821632
Chr1,121821801,Chr1_121821801
Chr1,122018981,Chr1_122018981
Chr1,122018989,Chr1_122018989
Chr1,122019388,Chr1_122019388
Chr1,122019484,Chr1_122019484
Chr1,122019616,Chr1_122019616
Chr1,122019617,Chr1_122019617
Chr1,122020370,Chr1_122020370
Chr1,122083353,Chr1_122083353
Chr1,122083438,Chr1_122083438
Chr1,122697281,Chr1_122697281
Chr1,122697509,Chr1_122697509
Chr1,12289129,Chr1_12289129
Chr1,12289162,Chr1_12289162
Chr1,12289171,Chr1_12289171
Chr1,12293012,Chr1_12293012
Chr1,12295569,Chr1_12295569
Chr1,12296039,Chr1_12296039
Chr1,12296478,Chr1_12296478
Chr1,123276036,Chr1_123276036
Chr1,123276075,Chr1_123276075
Chr1,123276321,Chr1_123276321
Chr1,123276366,Chr1_123276366
Chr1,123276400,Chr1_123276400
Chr1,123276834,Chr1_123276834
Chr1,123276979,Chr1_123276979
Chr1,12330600,Chr1_12330600
Chr1,12330797,Chr1_12330797
Chr1,12330962,Chr1_12330962
Chr1,12330978,Chr1_12330978
Chr1,12331037,Chr1_12331037
Chr1,12331184,Chr1_12331184
Chr1,12331304,Chr1_12331304
Chr1,12331361,Chr1_12331361
Chr1,12331430,Chr1_12331430
Chr1,12331460,Chr1_12331460
Chr1,12331559,Chr1_12331559
Chr1,12331604,Chr1_12331604
Chr1,12331721,Chr1_12331721
Chr1,12332011,Chr1_12332011
Chr1,12335867,Chr1_12335867
Chr1,12336069,Chr1_12336069
Chr1,12336130,Chr1_12336130
Chr1,12336795,Chr1_12336795
Chr1,123384030,Chr1_123384030
Chr1,123359255,Chr1_123359255
Chr1,123359391,Chr1_123359391
Chr1,123359513,Chr1_123359513
Chr1,123359649,Chr1_123359649
Chr1,12341422,Chr1_12341422
Chr1,12341526,Chr1_12341526
Chr1,12354764,Chr1_12354764
Chr1,12354885,Chr1_12354885
Chr1,12354889,Chr1_12354889
Chr1,12354951,Chr1_12354951
Chr1,12355016,Chr1_12355016
Chr1,12355167,Chr1_12355167
Chr1,12355198,Chr1_12355198
Chr1,12355215,Chr1_12355215
Chr1,12355299,Chr1_12355299
Chr1,12355576,Chr1_12355576
Chr1,12355602,Chr1_12355602
Chr1,12355604,Chr1_12355604
Chr1,12355727,Chr1_12355727
Chr1,12355743,Chr1_12355743
Chr1,12356035,Chr1_12356035
Chr1,12356104,Chr1_12356104
Chr1,12356572,Chr1_12356572
Chr1,12357072,Chr1_12357072
Chr1,12357123,Chr1_12357123
Chr1,12357410,Chr1_12357410
Chr1,12357519,Chr1_12357519
Chr1,12357531,Chr1_12357531
Chr1,12357532,Chr1_12357532
Chr1,12358896,Chr1_12358896
Chr1,12365664,Chr1_12365664
Chr1,12366769,Chr1_12366769
Chr1,12368728,Chr1_12368728
Chr1,12368729,Chr1_12368729
Chr1,123708293,Chr1_123708293
Chr1,12369348,Chr1_12369348
Chr1,123930510,Chr1_123930510
Chr1,124048250,Chr1_124048250
Chr1,124047884,Chr1_124047884
Chr1,124047642,Chr1_124047642
Chr1,124047396,Chr1_124047396
Chr1,124404312,Chr1_124404312
Chr1,124404319,Chr1_124404319
Chr1,124405181,Chr1_124405181
Chr1,124405311,Chr1_124405311
Chr1,12444422,Chr1_12444422
Chr1,12444587,Chr1_12444587
Chr1,12444881,Chr1_12444881
Chr1,12444938,Chr1_12444938
Chr1,12445075,Chr1_12445075
Chr1,12445589,Chr1_12445589
Chr1,12445821,Chr1_12445821
Chr1,12445846,Chr1_12445846
Chr1,12445926,Chr1_12445926
Chr1,12449430,Chr1_12449430
Chr1,12449827,Chr1_12449827
Chr1,12503281,Chr1_12503281
Chr1,12504830,Chr1_12504830
Chr1,12505805,Chr1_12505805
Chr1,12505863,Chr1_12505863
Chr1,12505876,Chr1_12505876
Chr1,12505894,Chr1_12505894
Chr1,12505966,Chr1_12505966
Chr1,12506148,Chr1_12506148
Chr1,12506750,Chr1_12506750
Chr1,12510036,Chr1_12510036
Chr1,12533109,Chr1_12533109
Chr1,12539013,Chr1_12539013
Chr1,12539080,Chr1_12539080
Chr1,12539081,Chr1_12539081
Chr1,12539270,Chr1_12539270
Chr1,12539641,Chr1_12539641
Chr1,12539724,Chr1_12539724
Chr1,12539968,Chr1_12539968
Chr1,12540157,Chr1_12540157
Chr1,12540196,Chr1_12540196
Chr1,12540698,Chr1_12540698
Chr1,12540826,Chr1_12540826
Chr1,12541498,Chr1_12541498
Chr1,12541918,Chr1_12541918
Chr1,12546735,Chr1_12546735
Chr1,12546745,Chr1_12546745
Chr1,12547631,Chr1_12547631
Chr1,12547658,Chr1_12547658
Chr1,12547814,Chr1_12547814
Chr1,12547895,Chr1_12547895
Chr1,12547938,Chr1_12547938
Chr1,12548242,Chr1_12548242
Chr1,12551938,Chr1_12551938
Chr1,126093211,Chr1_126093211
Chr1,12620617,Chr1_12620617
Chr1,12629605,Chr1_12629605
Chr1,12630053,Chr1_12630053
Chr1,12630389,Chr1_12630389
Chr1,12632175,Chr1_12632175
Chr1,12632718,Chr1_12632718
Chr1,12681319,Chr1_12681319
Chr1,12681515,Chr1_12681515
Chr1,12711476,Chr1_12711476
Chr1,12711892,Chr1_12711892
Chr1,12712090,Chr1_12712090
Chr1,12712849,Chr1_12712849
Chr1,12712942,Chr1_12712942
Chr1,12714098,Chr1_12714098
Chr1,12714099,Chr1_12714099
Chr1,12714156,Chr1_12714156
Chr1,12714234,Chr1_12714234
Chr1,12714259,Chr1_12714259
Chr1,12714280,Chr1_12714280
Chr1,12714301,Chr1_12714301
Chr1,12714430,Chr1_12714430
Chr1,12715354,Chr1_12715354
Chr1,12715495,Chr1_12715495
Chr1,12715507,Chr1_12715507
Chr1,12715680,Chr1_12715680
Chr1,12715781,Chr1_12715781
Chr1,12716108,Chr1_12716108
Chr1,12716152,Chr1_12716152
Chr1,12716284,Chr1_12716284
Chr1,128842498,Chr1_128842498
Chr1,128842746,Chr1_128842746
Chr1,128842917,Chr1_128842917
Chr1,130345351,Chr1_130345351
Chr1,13023944,Chr1_13023944
Chr1,13024298,Chr1_13024298
Chr1,131282145,Chr1_131282145
Chr1,131546961,Chr1_131546961
Chr1,131547849,Chr1_131547849
Chr1,13139818,Chr1_13139818
Chr1,13140236,Chr1_13140236
Chr1,13142726,Chr1_13142726
Chr1,13142757,Chr1_13142757
Chr1,13142782,Chr1_13142782
Chr1,13143964,Chr1_13143964
Chr1,13144513,Chr1_13144513
Chr1,13144918,Chr1_13144918
Chr1,13144940,Chr1_13144940
Chr1,13145227,Chr1_13145227
Chr1,13145489,Chr1_13145489
Chr1,13162101,Chr1_13162101
Chr1,13162199,Chr1_13162199
Chr1,13166442,Chr1_13166442
Chr1,13166461,Chr1_13166461
Chr1,13166494,Chr1_13166494
Chr1,13166511,Chr1_13166511
Chr1,13167349,Chr1_13167349
Chr1,13167362,Chr1_13167362
Chr1,13167384,Chr1_13167384
Chr1,13167410,Chr1_13167410
Chr1,13167581,Chr1_13167581
Chr1,13168243,Chr1_13168243
Chr1,13168255,Chr1_13168255
Chr1,13168333,Chr1_13168333
Chr1,13168460,Chr1_13168460
Chr1,13168713,Chr1_13168713
Chr1,13169124,Chr1_13169124
Chr1,13172233,Chr1_13172233
Chr1,13174421,Chr1_13174421
Chr1,13174508,Chr1_13174508
Chr1,13175888,Chr1_13175888
Chr1,13177317,Chr1_13177317
Chr1,13177335,Chr1_13177335
Chr1,13177474,Chr1_13177474
Chr1,13177630,Chr1_13177630
Chr1,13177723,Chr1_13177723
Chr1,13180213,Chr1_13180213
Chr1,13180847,Chr1_13180847
Chr1,13181753,Chr1_13181753
Chr1,13181967,Chr1_13181967
Chr1,13182202,Chr1_13182202
Chr1,13182766,Chr1_13182766
Chr1,13182798,Chr1_13182798
Chr1,132402568,Chr1_132402568
Chr1,13759078,Chr1_13759078
Chr1,13760366,Chr1_13760366
Chr1,13761075,Chr1_13761075
Chr1,13761750,Chr1_13761750
Chr1,13761883,Chr1_13761883
Chr1,13810909,Chr1_13810909
Chr1,13813843,Chr1_13813843
Chr1,13813867,Chr1_13813867
Chr1,13821042,Chr1_13821042
Chr1,13827305,Chr1_13827305
Chr1,180544,Chr1_180544
Chr1,13864560,Chr1_13864560
Chr1,13865351,Chr1_13865351
Chr1,13865477,Chr1_13865477
Chr1,13865550,Chr1_13865550
Chr1,13865559,Chr1_13865559
Chr1,13865572,Chr1_13865572
Chr1,13865608,Chr1_13865608
Chr1,13865740,Chr1_13865740
Chr1,13866074,Chr1_13866074
Chr1,13905390,Chr1_13905390
Chr1,13905563,Chr1_13905563
Chr1,13905589,Chr1_13905589
Chr1,13905690,Chr1_13905690
Chr1,13905695,Chr1_13905695
Chr1,13906640,Chr1_13906640
Chr1,13906854,Chr1_13906854
Chr1,13907008,Chr1_13907008
Chr1,13907531,Chr1_13907531
Chr1,13907815,Chr1_13907815
Chr1,13907881,Chr1_13907881
Chr1,13908019,Chr1_13908019
Chr1,139655886,Chr1_139655886
Chr1,139656739,Chr1_139656739
Chr1,140679895,Chr1_140679895
Chr1,141160276,Chr1_141160276
Chr1,141706795,Chr1_141706795
Chr1,141709276,Chr1_141709276
Chr1,141839744,Chr1_141839744
Chr1,141839947,Chr1_141839947
Chr1,142031316,Chr1_142031316
