,maize,switchgrass,rice,sorghum,soy,spruce
cv57,0.394806210305802,0.605885519821558,0.435231195056336,0.582872672773916,0.486740028291374,0.303924732633839
cv58,0.402968748210143,0.594825497488525,0.436445282628205,0.55070463524898,0.470627363081317,0.292675855195337
cv59,0.361350131205031,0.593528978932001,0.428506604481235,0.537978007863354,0.486228786112319,0.282284667353075
cv60,0.429224371535558,0.584848469620612,0.46067961304049,0.564369289644322,0.480534672063648,0.295892781495717
cv61,0.42911509497582,0.602235833128576,0.38673446644922,0.592432410999381,0.479670106810795,0.316470973581291
cv62,0.410491475329825,0.615911298141953,0.397621155841891,0.546762595113182,0.485289794184514,0.312680488626536
cv63,0.401178258523154,0.566472146315357,0.452553168830857,0.564141625584867,0.483312888197655,0.315409411256646
cv64,0.382339931023248,0.590568883127012,0.407498443058784,0.568331101377522,0.471234357048213,0.309813602689522
cv65,0.395522626513302,0.604136522773744,0.469289344114035,0.556476086073041,0.476193763730366,0.296710155786478
cv66,0.373729022596043,0.593342153423771,0.389601718753019,0.544556630266909,0.473097599685677,0.312380060977552
cv67,0.406329810559933,0.610351486812206,0.349334083036114,0.56747762679921,0.475432896717063,0.288223566922202
cv68,0.417796069054533,0.582538054980376,0.39800628432807,0.55332664132478,0.47377372480446,0.294187895709063
cv69,0.403050659540584,0.579501109079489,0.433953211949259,0.585508461661116,0.478669233419384,0.292124764853387
cv70,0.414084139991263,0.60292053262422,0.433839963950104,0.574125427540811,0.486444646236063,0.301389809426084
cv71,0.412686719146377,0.60506869027194,0.443725491438685,0.574125299895763,0.478983365787286,0.307172128429672
cv72,0.404788845493232,0.598484231343645,0.402405120721086,0.584048448167392,0.483041638139637,0.314342009824033
cv73,0.371899042023772,0.59063976517025,0.391465713279502,0.565215288456012,0.47088292423551,0.288647145717489
cv74,0.391420428028222,0.599339745225006,0.400853743172519,0.560496928024686,0.473926062273198,0.309087932358166
cv75,0.395883605335624,0.599343238628344,0.386241924813799,0.566506660898532,0.479372137954169,0.288456323351813
cv76,0.432122998201658,0.594356364457101,0.451589020858072,0.557901958584468,0.479134347307441,0.317888911844403
cv77,0.424039668836726,0.621413355743985,0.424291415189273,0.565102382992372,0.485135543334881,0.293823728673996
cv78,0.376080834012853,0.608101375795919,0.41731727985746,0.545917412768342,0.481403701305062,0.298465703890847
cv79,0.418421462187326,0.588017904747882,0.454823103271498,0.548296387980434,0.480142045961403,0.276188791236971
cv80,0.423082399780907,0.607267439478008,0.42770604332944,0.537744029618876,0.476151157335779,0.290621803879015
cv81,0.381016589262465,0.59799193556317,0.428123498209267,0.525413524481632,0.484999867594974,0.301448398389304
cv82,0.396691163263435,0.596230190526761,0.455488952313901,0.544864183209527,0.486538182974605,0.311977353699248
cv83,0.414491650298845,0.607886834613487,0.407968170346382,0.581709245857474,0.470600317418729,0.298149448370544
cv84,0.391300534695583,0.611391569598978,0.431847622941894,0.5865450259261,0.476937439889468,0.284473997714678
cv85,0.400904943009563,0.62193305958953,0.414132543307837,0.56996355982387,0.481987187621109,0.304512854022581
cv86,0.39298573148507,0.608629990176753,0.445499887799386,0.562507330241674,0.474919364653964,0.314526596671223
cv87,0.394686500639088,0.609583943480275,0.357143110584835,0.539429747083978,0.475675792055461,0.299752600652816
cv88,0.413521392539696,0.603946825965492,0.404550885963475,0.52397902039566,0.482953105680074,0.311524757367673
cv89,0.378127314701756,0.615825757563758,0.432437045937412,0.584912359440444,0.483834795583703,0.290554031950427
cv90,0.423504944791594,0.617377848608654,0.464914267980315,0.584493089986537,0.475377238230504,0.297620327336688
cv91,0.323679903430882,0.609775740612122,0.47533652491019,0.559635488438243,0.488020395654451,0.299097195993697
cv92,0.375827971176893,0.61801744905166,0.352468689469414,0.537416081961332,0.478856153973696,0.283349429171704
cv93,0.445451226141923,0.601615992655306,0.372930647424584,0.564979914623725,0.48471334962222,0.288362319176819
cv94,0.416559088903827,0.580781993998702,0.420686174467933,0.565065140897546,0.484174079803235,0.294979840195506
cv95,0.395646727803743,0.616394269425506,0.323982890092276,0.534483185671222,0.479386276011971,0.299668963103194
cv96,0.42121486395938,0.594076588166647,0.436019830276132,0.525667316661688,0.479308827334828,0.299721153363068
cv97,0.432941617349646,0.605215922680726,0.438663705584532,0.573816565924154,0.480278528423319,0.304612384253336
cv98,0.382617433645066,0.602624798741354,0.413902306339323,0.581175267811254,0.471776534899732,0.299673225269403
cv99,0.380542253263683,0.617259802605287,0.429701173148373,0.565387287388657,0.477561311920836,0.303947943062872
mean,0.40406726212132,0.600547992514618,0.412692637009613,0.562780234063325,0.480066212923147,0.301878886588099
std,0.026000571025963,0.011436751046274,0.032139168181364,0.018167223171398,0.004634841430909,0.011788234975761
